sortie,parametre_1,parametre_2,R2_interaction,R2_cellules,R2_additif,n,n_cellules
N_lixi,type_f3_1,Dose_F3_1,0.002038818213874416,0.002690708246592788,0.0006518900327183719,10000,16
N_lixi,Jours_av_PREPA,Jours_F2_F3,0.0020239707973840337,0.0030299188293623214,0.0010059480319782876,10000,15
N_lixi,Jour_Semis,Jours_op_recolte,0.0020064654552642835,0.002430140128445668,0.0004236746731813845,10000,16
N_lixi,Jours_semis_F1,Dose_F1_2,0.0019059687008348147,0.0021786931824667732,0.0002727244816319585,10000,16
N_lixi,n_ferti,Jours_av_PREPA,0.001896922108221455,0.0037231243159548955,0.0018262022077334406,10000,16
N_lixi,Jours_av_PREPA,Dose_F2_1,0.0018731835201484248,0.0032660086904394703,0.0013928251702910455,10000,16
N_lixi,prepa_1,Dose_F2_1,0.0018562186093294963,0.002725097960159406,0.0008688793508299097,10000,16
N_lixi,Jours_av_PREPA,Jours_F1_F2,0.0017313221188478556,0.0032932464421031593,0.0015619243232553037,10000,15
N_lixi,type_f3_1,Jours_F2_F3,0.0016946843534609846,0.0020506977234597823,0.00035601336999879774,10000,16
N_lixi,type_f1_2,Dose_F3_2,0.0016685206948792164,0.0021737341191485626,0.0005052134242693462,10000,16
N_lixi,Jours_av_PREPA,Dose_F1_2,0.0016506150585304802,0.002623558295516637,0.0009729432369861568,10000,15
N_lixi,type_f2_1,Dose_F1_2,0.0016197651440084115,0.0022049183750304513,0.0005851532310220398,10000,16
N_lixi,nb_f1,nb_f3,0.0016047024545803312,0.001901163091129754,0.0002964606365494227,10000,16
N_lixi,nb_f3,Jours_semis_F1,0.0015754540547957552,0.001913923629752956,0.00033846957495720087,10000,16
N_lixi,type_f2_1,Jours_semis_F1,0.0015663444185236575,0.002359220561744091,0.0007928761432204334,10000,16
N_lixi,nb_f3,type_f3_2,0.0015650504756438144,0.0020638101322777436,0.0004987596566339292,10000,16
N_lixi,Dose_F2_1,Dose_F3_2,0.0015562473450257963,0.0022465108700108205,0.0006902635249850242,10000,15
N_lixi,type_f3_2,Jours_semis_F1,0.001541338468968867,0.0022084821038456104,0.0006671436348767434,10000,16
N_lixi,nb_f3,type_f3_1,0.001511411098776061,0.0019066530054901998,0.00039524190671413884,10000,16
N_lixi,type_f2_2,Dose_F2_2,0.00150216432006689,0.0018969068741461204,0.0003947425540792304,10000,16
N_lixi,type_f1_2,Dose_F3_1,0.0014554014864496256,0.002081382721071945,0.0006259812346223192,10000,16
N_lixi,type_f1_2,Jours_op_recolte,0.00142146476259708,0.0017698382157013137,0.00034837345310423373,10000,16
N_lixi,Dose_F1_1,Dose_F1_2,0.0014188307677842626,0.0021146492024941566,0.0006958184347098939,10000,16
N_lixi,type_f3_1,Dose_F1_2,0.0014137086558960732,0.001743147034724668,0.00032943837882859484,10000,16
N_lixi,type_f3_2,Jours_av_PREPA,0.00140689469610078,0.002777814117404187,0.001370919421303407,10000,16
N_lixi,Jours_F1_F2,Jours_F2_F3,0.001403633399759907,0.002009403966762302,0.000605770567002395,10000,13
N_lixi,type_f1_2,Jours_semis_F1,0.0013985902685258456,0.0018948310165262106,0.000496240748000365,10000,16
N_lixi,type_f1_2,Jours_F2_F3,0.0013794142280939559,0.0017086622242719063,0.0003292479961779504,10000,16
N_lixi,Jour_Semis,Dose_F2_2,0.00137636795328544,0.001900684435498845,0.000524316482213405,10000,16
N_lixi,type_f2_1,type_f3_1,0.0013745229226606037,0.002249948241302535,0.0008754253186419314,10000,16
N_lixi,type_f2_1,Dose_F3_2,0.0013700919974358738,0.002131758858891497,0.0007616668614556232,10000,16
N_lixi,n_ferti,Dose_F3_2,0.0013602734039485087,0.0024560594702114358,0.001095786066262927,10000,16
N_lixi,type_f1_2,type_f3_2,0.0013338224927316178,0.002037020992738836,0.0007031985000072183,10000,16
N_lixi,Jours_av_PREPA,Dose_F2_2,0.0013137613390790115,0.0024205136915655956,0.001106752352486584,10000,16
N_lixi,type_f3_2,Jours_op_recolte,0.00129977521904312,0.0017734124715740318,0.0004736372525309118,10000,16
N_lixi,type_f2_2,Jours_av_PREPA,0.001285257311920085,0.0024252777680789928,0.0011400204561589078,10000,13
N_lixi,prepa_1,Dose_F3_1,0.00128161638088653,0.0020489810191141045,0.0007673646382275745,10000,16
